# Pathway	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
UNMAPPED	3226597.45041205	1910564.17941451	1902420.78386442	1633481.72523524	1731257.86664887	2000097.62473381	1994730.25912203	1875329.01101611	2068628.7480801	1631310.8308108	1583581.13022177	2301951.6522673	1569350.59233581	2166307.25923492	1733268.17286052	1704570.75871875
UNINTEGRATED	2360645.6883163	1168098.50105392	977301.78636027	850697.754310358	858326.684664329	1097680.06773949	1126445.62090195	902834.792008738	1137900.90822883	903474.997796074	902435.255567563	1392396.38038308	817890.88525132	1238568.20305403	911259.390375378	1019421.82214492
UNINTEGRATED|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_junii	104.841608739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	221.6115344714	0	97.502655462	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0	0	0	0	0	55.9240097459	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	929.2395684049	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_towneri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	11.1542110004	0	0	0	0
UNINTEGRATED|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
