# Pathway	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	4960.8659889858	2231.5292372814	1760.1049978277	1925.148574313	1910.70346205	2338.9190890705	2580.3688767475	1948.2446574548	2347.8910637409	1434.0527175175	1802.2909110067	2621.2974600152	1476.9903541202	2105.7639477278	1176.3329235367	1787.7847999785
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	6.8158031657	0	0	0	8.6368367532	0	17.2213368845
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Thiobacillus.s__Thiobacillus_denitrificans	0	0	0	0	0	4.7537640611	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	4658.1532146453	2206.7682114349	1760.0473224505	1909.6560220272	1897.5201569807	2303.3535119361	2535.7892906492	1938.2021108639	2316.2592670156	1419.4040613082	1693.5334854942	2596.5553138187	1462.456906805	2068.1030443723	1174.4665600713	1732.1386766747
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	170.4222041476	137.1565950028	90.7412910897	85.5846849028	49.6101934202	71.726395349	115.6154893347	94.6502677878	91.3688263638	80.9012869806	30.9252455053	145.0789138162	77.109861304	113.6597509459	67.9130400535	98.3764534326
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	170.4222041476	137.0482761511	90.7412910897	85.5846849028	49.6101934202	71.726395349	115.6154893347	94.6502677878	91.3688263638	80.8999538672	30.8083695422	145.0621718714	76.9967788924	113.415508481	67.9069984803	98.3716543238
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	30.5267853763	26.7767579547	17.6682344282	21.468493021	13.0629179974	8.2747119802	12.3339474878	12.1880625705	13.942679895	7.935758899	3.8397432228	16.9777070841	18.6979926302	45.4263525553	12.807190449	28.1385141466
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation|unclassified	30.5267853763	26.774419955	17.6682344282	21.468493021	13.0619267278	8.2747119802	12.3339474878	12.1880625705	13.942679895	7.9355668818	3.8397432228	16.977488636	18.6977943845	45.4248367292	12.8061234387	28.1360536343
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.9446710987	1.3993281619	0	0	0	0	0	0	0	0	0	0	0.4442688103	0.3225531133	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|unclassified	0.9446710987	1.3993281619	0	0	0	0	0	0	0	0	0	0	0.4441757267	0.3225531133	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	392.743530687	172.955921942	110.9706853981	166.6355962538	222.4909139765	186.6799976606	210.5130009632	187.0147964522	238.9931922189	147.6479239069	154.3201627385	185.1423500521	103.6161042215	104.9793719424	39.7760652392	66.3109716906
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism|unclassified	388.5214304115	172.4288535886	110.9634724843	166.4991127952	222.3248929725	186.1925101855	210.3316012816	186.9550130032	238.8933331044	147.36371883	151.5975743898	184.948632896	103.2008019205	104.7491097446	39.7319512702	66.1965936402
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	663.6902453612	407.7568586781	346.7790076188	226.0878610946	170.3602969922	241.1051937953	266.2301950638	164.021284361	195.8216891983	323.7368756446	133.3024587689	493.7802954352	349.8259773791	478.8700175958	243.0756359093	379.3392465426
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	662.1440949726	404.3087361084	346.7790076188	226.0878610946	170.3602969922	241.1051937953	266.2301950638	164.021284361	195.8216891983	323.1265227562	131.9175939639	493.7802954352	347.2829530174	476.5011566112	242.6340169117	377.1139268451
ANAEROFRUCAT-PWY: homolactic fermentation	6255.3084425508	2771.3021834111	2308.3313441631	2270.819807136	2547.3561900486	2977.3073251511	2975.0978901306	2166.038319344	2924.1256057298	1742.9685439621	2960.024678452	3029.8527698113	1780.2917393134	2387.1273420855	1643.6079565582	2028.4638960979
