#random sampling: 63689044
Gene	W79	W111	W105	W189	W85	W183	W89	W53	W154	W196	W91	W64	W193	W100	W234	W117
NR	2925	2454	2961	1173	3081	1362	2285	1223	1279	1204	2828	2887	1048	2161	2455	1861
amoA_A	27	16	18	14	20	22	9	0	0	5	3	49	34	10	2	8
amoA_B	23	18	23	10	36	61	10	3	0	5	25	35	6	7	70	19
amoB_A	27	26	7	18	28	10	2	0	0	6	3	55	26	15	1	16
amoB_B	35	11	14	26	42	75	1	1	5	0	12	41	3	5	102	22
amoC_A	45	41	22	29	53	20	10	0	2	9	5	68	26	19	2	33
amoC_B	49	20	55	41	52	189	4	2	3	1	18	106	15	6	250	27
anfG	0	0	2	11	0	2	2	0	0	2	0	0	1	0	1	0
ansB	2265	1624	1663	1501	2172	1682	1504	1856	1593	1484	2317	1966	1539	1567	1860	1842
asnB	27701	26964	19605	22070	27163	23524	21137	21003	21684	22572	24946	24292	22211	23109	22649	23026
gdh_K00260	423	604	607	553	563	711	480	423	825	690	360	493	656	724	398	796
gdh_K00261	8424	9684	8587	9569	8065	9624	7046	9393	9489	8789	7360	8859	10351	11933	5841	12658
gdh_K00262	1478	1641	2946	4705	1517	4362	2109	5182	4867	4745	1806	1971	4612	4002	1776	4497
gdh_K15371	11464	10680	13618	9003	13002	8781	7455	3914	8312	6996	11772	14463	8890	15570	7251	14158
glnA	27308	27332	28936	25388	29222	25456	21181	21648	23381	22474	27048	32459	24736	28309	20541	27708
glsA	2913	3157	3914	3370	3294	2648	2092	2874	2790	2805	4093	3293	2720	3636	2915	3261
gs_K00264	477	536	488	599	565	534	333	450	654	580	450	489	672	437	313	599
gs_K00265	14967	15944	20288	17578	16476	16278	13445	10435	15525	15341	17207	18943	15176	18790	14618	16393
gs_K00266	20923	24100	26177	52592	20607	55080	25544	63146	40741	60674	23418	24781	49402	27153	27774	33974
gs_K00284	4607	4922	4007	4510	4167	3996	3130	3837	4286	3465	4196	4630	3373	3355	4601	5745
