pathway	S10	S112	S113	S114	S11	S12	S13	S15	S161	S162	S164	S165	S166	S167	S168	S169	S16	S170	S171	S172	S173	S174	S175	S176	S177	S179	S17	S182	S187	S188	S18	S191	S194	S196	S197	S198	S19	S1	S201	S202	S203	S204	S205	S206	S207	S208	S209	S20	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S22	S23	S24	S25	S26	S27	S28	S2	S30	S34	S35	S36	S37	S3	S4	S5	S61	S62	S63	S65	S6	S7	S85	S86	S87	S88	S89	S9
ko00010	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.5	0.0	0.5	1.0	0.5	0.0	0.0	1.0	1.0	1.0	1.0	1.5	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.0	1.0	0.0	0.0	0.0	1.5	0.5	0.5	0.0	0.5	0.0	1.5
ko00020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	1.2222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.0	1.2222	0.0	0.0	0.0	0.0	1.3333	1.3333	1.3333	2.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	1.2222	0.0	0.0	0.0	1.7778	0.0	0.6667	0.0	0.6667	0.0	2.0
ko00030	0.0	0.6818	0.6818	0.6818	0.6818	0.0	0.0	0.5455	0.0	0.0	0.0	0.0	0.0	0.0	0.5455	0.5455	0.6818	0.0	0.0	0.6818	0.0	0.6818	0.0	0.0	0.0	0.0	0.0	0.5455	0.0	0.0	0.0	0.0	0.0	0.0	1.2273	0.0	0.6818	0.0	0.0	0.6818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5455	0.0	0.6818	0.0	0.0	0.0	0.5455	0.5455	0.0	0.0	0.5455	0.0	0.6818	1.2273	0.6818	0.0	0.0	1.3636	1.0909	1.0909	1.0909	1.6364	0.6818	0.0	0.0	0.0	0.0	0.5455	0.5455	0.6818	0.0	1.2273	0.0	0.0	0.0	1.9091	0.6818	0.5455	0.0	0.5455	0.0	1.6364
ko00051	0.0	0.2727	0.2727	0.2727	0.2727	0.0	0.0	0.2121	0.0	0.0	0.0	0.0	0.0	0.0	0.2121	0.2121	0.2727	0.0	0.0	0.2727	0.0	0.2727	0.0	0.0	0.0	0.0	0.0	0.2121	0.0	0.0	0.0	0.0	0.0	0.0	0.4848	0.0	0.2727	0.0	0.0	0.2727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2121	0.0	0.2727	0.0	0.0	0.0	0.2121	0.2121	0.0	0.0	0.2121	0.0	0.2727	0.4848	0.2727	0.0	0.0	0.5455	0.4242	0.4242	0.4242	0.6364	0.2727	0.0	0.0	0.0	0.0	0.2121	0.2121	0.2727	0.0	0.4848	0.0	0.0	0.0	0.7576	0.2727	0.2121	0.0	0.2121	0.0	0.6364
ko00061	0.0	1.1538	1.1538	1.1538	1.1538	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.1538	0.0	0.0	1.1538	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1538	0.0	1.1538	0.0	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.1538	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.1538	2.1538	1.1538	0.0	0.0	2.3077	2.0	2.0	2.0	3.0	1.1538	0.0	0.0	0.0	0.0	1.0	1.0	1.1538	0.0	2.1538	0.0	0.0	0.0	3.3077	1.1538	1.0	0.0	1.0	0.0	3.0
ko00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.75	0.0	0.0	1.0833	0.0	0.0	0.0	0.0	1.5	1.5	1.5	2.25	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	1.0833	0.0	0.0	0.0	1.4167	0.0	0.75	0.0	0.75	0.0	2.25
ko00130	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.55	0.25	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.25	0.0	0.0	0.0	0.55	0.55	0.0	0.0	0.55	0.0	0.25	0.8	0.25	0.0	0.0	0.5	1.1	1.1	1.1	1.65	0.25	0.0	0.0	0.0	0.0	0.55	0.55	0.25	0.0	0.8	0.0	0.0	0.0	1.05	0.25	0.55	0.0	0.55	0.0	1.65
ko00190	0.0	0.3495	0.3495	0.3495	0.3495	0.0	0.0	0.2816	0.0	0.0	0.0	0.0	0.0	0.0	0.2816	0.2816	0.3495	0.0	0.0	0.3495	0.0	0.3495	0.0	0.0	0.0	0.0	0.0	0.2816	0.0	0.0	0.0	0.0	0.0	0.0	0.6311	0.0	0.3495	0.0	0.0	0.3495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2816	0.0	0.3495	0.0	0.0	0.0	0.2816	0.2816	0.0	0.0	0.2816	0.0	0.3495	0.6311	0.3495	0.0	0.0	0.699	0.5631	0.5631	0.5631	0.8447	0.3495	0.0	0.0	0.0	0.0	0.2816	0.2816	0.3495	0.0	0.6311	0.0	0.0	0.0	0.9806	0.3495	0.2816	0.0	0.2816	0.0	0.8447
ko00230	0.0	0.4286	0.4286	0.4286	0.4286	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.4286	0.4286	0.4286	0.0	0.0	0.4286	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.8571	0.0	0.4286	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.4286	0.0	0.0	0.0	0.4286	0.4286	0.0	0.0	0.4286	0.0	0.4286	0.8571	0.4286	0.0	0.0	0.8571	0.8571	0.8571	0.8571	1.2857	0.4286	0.0	0.0	0.0	0.0	0.4286	0.4286	0.4286	0.0	0.8571	0.0	0.0	0.0	1.2857	0.4286	0.4286	0.0	0.4286	0.0	1.2857
ko00240	0.0	0.5867	0.5867	0.5867	0.5867	0.0	0.0	0.5467	0.0	0.0	0.0	0.0	0.0	0.0	0.5467	0.5467	0.5867	0.0	0.0	0.5867	0.0	0.5867	0.0	0.0	0.0	0.0	0.0	0.5467	0.0	0.0	0.0	0.0	0.0	0.0	1.1333	0.0	0.5867	0.0	0.0	0.5867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5467	0.0	0.5867	0.0	0.0	0.0	0.5467	0.5467	0.0	0.0	0.5467	0.0	0.5867	1.1333	0.5867	0.0	0.0	1.1733	1.0933	1.0933	1.0933	1.64	0.5867	0.0	0.0	0.0	0.0	0.5467	0.5467	0.5867	0.0	1.1333	0.0	0.0	0.0	1.72	0.5867	0.5467	0.0	0.5467	0.0	1.64
