pathway	S10	S112	S113	S114	S11	S12	S13	S15	S161	S162	S164	S165	S166	S167	S168	S169	S16	S170	S171	S172	S173	S174	S175	S176	S177	S179	S17	S182	S187	S188	S18	S191	S194	S196	S197	S198	S19	S1	S201	S202	S203	S204	S205	S206	S207	S208	S209	S20	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S22	S23	S24	S25	S26	S27	S28	S2	S30	S34	S35	S36	S37	S3	S4	S5	S61	S62	S63	S65	S6	S7	S85	S86	S87	S88	S89	S9
1CMET2-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.5556	0.0	0.0	0.0	0.0	2.0	2.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.5556	0.0	0.0	0.0	1.9091	0.0	1.0	0.0	1.0	0.0	3.0
ANAEROFRUCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6183	0.0	0.0	0.0	2.2903	0.0	0.0	0.0	0.0	0.0	0.0
ANAGLYCOLYSIS-PWY	0.0	1.0588	1.0588	1.0588	1.0588	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.08	1.0588	0.0	0.0	1.0588	0.0	1.0588	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	2.1429	0.0	1.0588	0.0	0.0	1.0588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	1.0588	0.0	0.0	0.0	1.08	1.08	0.0	0.0	1.08	0.0	1.0588	2.1429	1.0588	0.0	0.0	2.1176	2.16	2.16	2.16	3.24	1.0588	0.0	0.0	0.0	0.0	1.08	1.08	1.0588	0.0	2.1429	0.0	0.0	0.0	3.2034	1.0588	1.08	0.0	1.08	0.0	3.24
ARG+POLYAMINE-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5956	0.0	0.0	0.0	2.351	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY	0.0	1.0213	1.0213	1.0213	1.0213	0.0	0.0	1.0435	0.0	0.0	0.0	0.0	0.0	0.0	1.0435	1.0435	1.0213	0.0	0.0	1.0213	0.0	1.0213	0.0	0.0	0.0	0.0	0.0	1.0435	0.0	0.0	0.0	0.0	0.0	0.0	2.0719	0.0	1.0213	0.0	0.0	1.0213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0435	0.0	1.0213	0.0	0.0	0.0	1.0435	1.0435	0.0	0.0	1.0435	0.0	1.0213	2.0719	1.0213	0.0	0.0	2.0426	2.087	2.087	2.087	3.1304	1.0213	0.0	0.0	0.0	0.0	1.0435	1.0435	1.0213	0.0	2.0719	0.0	0.0	0.0	3.0968	1.0213	1.0435	0.0	1.0435	0.0	3.1304
ARGSYNBSUB-PWY	0.0	1.0526	1.0526	1.0526	1.0526	0.0	0.0	1.1765	0.0	0.0	0.0	0.0	0.0	0.0	1.1765	1.1765	1.0526	0.0	0.0	1.0526	0.0	1.0526	0.0	0.0	0.0	0.0	0.0	1.1765	0.0	0.0	0.0	0.0	0.0	0.0	2.2642	0.0	1.0526	0.0	0.0	1.0526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1765	0.0	1.0526	0.0	0.0	0.0	1.1765	1.1765	0.0	0.0	1.1765	0.0	1.0526	2.2642	1.0526	0.0	0.0	2.1053	2.3529	2.3529	2.3529	3.5294	1.0526	0.0	0.0	0.0	0.0	1.1765	1.1765	1.0526	0.0	2.2642	0.0	0.0	0.0	3.3333	1.0526	1.1765	0.0	1.1765	0.0	3.5294
ARO-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0769	0.0	0.0	0.0	0.0	0.0	0.0	1.0769	1.0769	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0769	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0769	0.0	1.0	0.0	0.0	0.0	1.0769	1.0769	0.0	0.0	1.0769	0.0	1.0	2.1	1.0	0.0	0.0	2.0	2.1538	2.1538	2.1538	3.2308	1.0	0.0	0.0	0.0	0.0	1.0769	1.0769	1.0	0.0	2.1	0.0	0.0	0.0	3.1111	1.0	1.0769	0.0	1.0769	0.0	3.2308
ASPASN-PWY	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0
BIOTIN-BIOSYNTHESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	1.4737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	1.2	1.2	0.0	0.0	1.2	0.0	0.0	1.4737	0.0	0.0	0.0	0.0	2.4	2.4	2.4	3.6	0.0	0.0	0.0	0.0	0.0	1.2	1.2	0.0	0.0	1.4737	0.0	0.0	0.0	1.6051	0.0	1.2	0.0	1.2	0.0	3.6
BRANCHED-CHAIN-AA-SYN-PWY	0.0	1.1765	1.1765	1.1765	1.1765	0.0	0.0	1.2245	0.0	0.0	0.0	0.0	0.0	0.0	1.2245	1.2245	1.1765	0.0	0.0	1.1765	0.0	1.1765	0.0	0.0	0.0	0.0	0.0	1.2245	0.0	0.0	0.0	0.0	0.0	0.0	2.4096	0.0	1.1765	0.0	0.0	1.1765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2245	0.0	1.1765	0.0	0.0	0.0	1.2245	1.2245	0.0	0.0	1.2245	0.0	1.1765	2.4096	1.1765	0.0	0.0	2.3529	2.449	2.449	2.449	3.6735	1.1765	0.0	0.0	0.0	0.0	1.2245	1.2245	1.1765	0.0	2.4096	0.0	0.0	0.0	3.5897	1.1765	1.2245	0.0	1.2245	0.0	3.6735
