#random sampling: 81547874
Gene	S1	S2
ADE2	833	1035
RegX3	15513	16886
SenX3	3360	4822
adk	15630	14938
aepP	8	4
aepS	0	2
aepV	0	2
aepW	9	3
aepX	42	51
aphA	3	0
appA	27	19
cmk	17849	19135
dcd	3966	5411
deoB	2050	2940
dut	5612	5006
fomC	36	92
gcd	11865	18755
gdh	3590	6330
glpQ	5957	6343
glpT	659	338
gmk	6415	5439
gnd	9810	13301
gnl	8476	11628
gntK	2871	3545
guaA	20030	20778
guaB	15212	16459
htxA	4	4
htxB	33	25
lysR	3350	1834
mpnS	6	2
ndk	4939	4823
nrdA	8276	3674
nrdB	3300	1348
nrdD	2594	490
nrdE	164	141
nrdF	319	683
nrdJ	11120	19264
olpA	14	9
opd	200	548
pafA	386	238
pbfA	4540	5828
pckA	5296	6794
pckG	9280	7470
pepM	990	1196
pgtA	4712	3845
pgtB	138	162
pgtC	212	159
pgtP	4	1
phnA	869	727
phnC	2389	3178
phnD	449	372
phnD_phosphite	529	371
phnE	2132	2817
phnF	1254	968
phnG	92	100
phnH	139	127
phnI	367	428
phnJ	266	329
phnK	312	376
phnL	284	235
phnM	2023	2171
phnN	333	361
phnO	158	261
phnP	1892	2043
phnPP	1418	1762
phnR	2	1
phnS	35	10
phnT	61	78
phnU	94	70
phnV	49	94
phnW	2058	1904
phnX	325	293
phnY	51	70
phnZ	107	86
phny	2627	3179
phoA	2474	1585
phoB	81357	89217
phoC	33	9
phoD	4405	4947
phoH	6821	7329
phoN	216	35
phoP	25709	27609
phoR	45732	49897
phoU	5498	4907
phoX	6741	6733
phpC	932	571
phy	1039	1642
pit	7358	3380
ppa	5240	4803
ppc	8932	10311
ppd	426	746
ppdK	17046	20496
pphA	33	83
ppk	15442	16218
pps	11812	13674
ppx	5642	5278
prsA	18486	17104
pstA	8105	8277
pstB	8636	8772
pstC	8189	8589
pstS	11239	11581
ptsH	2606	2706
ptsI	11009	11147
ptxB	13	19
ptxC	95	166
ptxD	6043	9141
purA	11300	11642
purB	11739	11572
purC	8732	8871
purD	10442	10331
purE	4350	4308
purF	13032	13036
purH	13464	13767
purK	5843	5790
purL	21752	18358
purM	7825	8460
purN	7222	7820
purO	42	10
purP	274	183
purQ	3395	5222
purS	878	1538
purT	2564	493
pyk	18700	17349
pyrE	5724	6071
pyrF	7019	6714
pyrG	15072	15378
pyrH	6417	6485
rpiA	5156	4766
rtpR	420	228
spoT	19183	15760
thyA	8060	6565
tmk	9982	14602
ugpA	6898	12475
ugpB	2694	2390
ugpC	20472	33945
ugpE	5050	9227
ugpQ	1528	1229
ushA	2029	2138
