ID	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
d__Archaea	50391	6426	10560	5669	9209	13049	23798	5030	9169	3891	3241	8516	3014	4666	2167	3569
d__Archaea|p__Candidatus Korarchaeota	4	1	0.0	2	6	6	7	2	5	0.0	1	0.0	5	2	3	0.0
d__Archaea|p__Candidatus Korarchaeota|g__Candidatus Korarchaeum	4	1	0.0	2	6	6	7	2	5	0.0	1	0.0	5	2	3	0.0
d__Archaea|p__Candidatus Korarchaeota|g__Candidatus Korarchaeum|s__Candidatus Korarchaeum cryptofilum	4	1	0.0	2	6	6	7	2	5	0.0	1	0.0	5	2	3	0.0
d__Archaea|p__Candidatus Micrarchaeota	0.0	0.0	0.0	0.0	5	0.0	1	2	2	3	2	1	0.0	0.0	0.0	0.0
d__Archaea|p__Candidatus Micrarchaeota|s__Candidatus Micrarchaeota archaeon Mia14	0.0	0.0	0.0	0.0	5	0.0	1	2	2	3	2	1	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota	133	80	70	54	66	119	87	86	128	26	61	88	48	77	40	61
d__Archaea|p__Crenarchaeota|c__Thermoprotei	133	80	70	54	66	119	87	86	128	26	61	88	48	77	40	61
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	30	13	23	6	14	24	15	13	39	5	14	18	8	23	11	11
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae	18	11	22	6	9	12	8	5	22	5	13	15	8	23	9	10
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus	18	11	22	6	9	12	8	5	22	5	13	15	8	23	9	10
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus saccharovorans	10	4	4	3	5	5	3	2	15	3	4	5	5	17	6	5
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus sp. 7A	7	7	15	3	4	5	5	3	7	2	8	6	1	5	2	5
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae	12	2	1	0.0	5	12	7	8	17	0.0	1	3	0.0	0.0	2	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera	12	2	1	0.0	5	12	7	8	17	0.0	1	3	0.0	0.0	2	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera lagunensis	12	2	1	0.0	5	12	7	8	17	0.0	1	3	0.0	0.0	2	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	23	20	15	14	13	27	23	24	20	5	18	28	17	20	10	12
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	9	9	8	11	11	11	8	9	11	4	11	11	7	5	6	6
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus	1	0.0	1	0.0	1	0.0	5	4	1	1	2	1	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus amylolyticus	0.0	0.0	1	0.0	0.0	0.0	2	0.0	1	0.0	2	1	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus mucosus	1	0.0	0.0	0.0	1	0.0	2	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus	6	7	0.0	6	4	2	2	1	9	2	2	4	3	2	0.0	2
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus hospitalis	1	5	0.0	3	2	1	0.0	0.0	5	1	2	3	2	1	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus islandicus	5	2	0.0	3	2	0.0	1	1	3	1	0.0	1	1	1	0.0	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus	1	0.0	1	0.0	2	5	1	2	0.0	1	2	0.0	1	1	2	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus hellenicus	0.0	0.0	0.0	0.0	1	4	0.0	1	0.0	0.0	2	0.0	1	0.0	2	0.0
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus marinus	1	0.0	1	0.0	1	1	1	1	0.0	1	0.0	0.0	0.0	1	0.0	0.0
